subj,subj_type,subj_span,obj,obj_type,obj_span,relation
I would have preferred that he did more diplomacy,Claim,"((38854, 38903),)",when I said that he had made a mistake in not building strong alliances,Claim,"((38773, 38844),)",Support
"In order for the sanctions to be effective, we should have been working with the British, French and Germans and other countries",Claim,"((61995, 62123),)",we've already sanctioned Iran,Claim,"((61134, 61163),)",Attack
I understand everybody in this country doesn't agree with the decisions I've made,Premise,"((5345, 5426),)",I've shown the American people I know how to lead,Claim,"((5284, 5333),)",Attack
it's certainly hard to tell it when he voted against the $87-billion supplemental to provide equipment for our troops,Premise,"((25674, 25791),)",Not what a commander in chief does when you're trying to lead troops,Claim,"((25864, 25932),)",Support
Saddam Hussein was a threat,Claim,"((38958, 38985),)",There was a right way to disarm him and a wrong way. And the president chose the wrong way,Claim,"((38987, 39077),)",Support
Only the United States put the sanctions on alone,Claim,"((61900, 61949),)","In order for the sanctions to be effective, we should have been working with the British, French and Germans and other countries",Claim,"((61995, 62123),)",Support
I made some tough decisions,Premise,"((5432, 5459),)",I understand everybody in this country doesn't agree with the decisions I've made,Premise,"((5345, 5426),)",Support
said he actually did vote for it before he voted against it,Premise,"((25802, 25861),)",Not what a commander in chief does when you're trying to lead troops,Claim,"((25864, 25932),)",Support
There was a right way to disarm him and a wrong way. And the president chose the wrong way,Claim,"((38987, 39077),)","I don't think he misled you when he said that, you know, anyone who doubted whether the world was better off without Saddam Hussein in power didn't have the judgment to be president",Claim,"((37860, 38041),)",Attack
"we can do this through the African Union, providing we give them the logistical support",Claim,"((62448, 62535),)",I think the reason that we're not saying send American troops in at this point is severalfold,Claim,"((62340, 62433),)",Support
people know where I stand,Premise,"((5465, 5490),)",I've shown the American people I know how to lead,Claim,"((5284, 5333),)",Support
That's what I learned in Vietnam,Premise,"((26218, 26250),)","I believe that when you know something's going wrong, you make it right",Claim,"((26145, 26216),)",Support
He changes positions,Claim,"((39214, 39234),)",The only thing consistent about my opponent's position is that he's been inconsistent,Claim,"((39127, 39212),)",Support
"we can do this through the African Union, providing we give them the logistical support",Claim,"((62448, 62535),)",Right now all the president is providing is humanitarian support,Claim,"((62537, 62601),)",Attack
People out there listening know what I believe,Premise,"((5493, 5539),)",people know where I stand,Premise,"((5465, 5490),)",Support
When I came back from that war I saw that it was wrong,Premise,"((26252, 26306),)",That's what I learned in Vietnam,Premise,"((26218, 26250),)",Support
you cannot change positions in this war on terror if you expect to win,Claim,"((39240, 39310),)",He changes positions,Claim,"((39214, 39234),)",Support
We need to do more than that,Claim,"((62603, 62631),)",Right now all the president is providing is humanitarian support,Claim,"((62537, 62601),)",Attack
"This is a group of killers who will not only kill here, but kill children in Russia",Premise,"((5688, 5771),)",We have a duty to defeat this enemy,Claim,"((5837, 5872),)",Support
"I believe that when you know something's going wrong, you make it right",Claim,"((26145, 26216),)",I'm going to lead those troops to victory,Claim,"((26420, 26461),)",Support
It's necessary we win,Claim,"((39333, 39354),)",I expect to win,Claim,"((39316, 39331),)",Support
We need to do more than that,Claim,"((62603, 62631),)","we can do this through the African Union, providing we give them the logistical support",Claim,"((62448, 62535),)",Support
"that'll attack unmercifully in Iraq, hoping to shake our will",Premise,"((5773, 5834),)",We have a duty to defeat this enemy,Claim,"((5837, 5872),)",Support
The president and I have always agreed on tha,Claim,"((26885, 26930),)",I believe that we have to win this,Claim,"((26849, 26883),)",Support
We're being challenged like never before,Claim,"((39357, 39397),)",I expect to win,Claim,"((39316, 39331),)",Support
They've got to have the logistical capacity to go in and stop the killing,Claim,"((62633, 62706),)",We need to do more than that,Claim,"((62603, 62631),)",Support
We have a duty to protect our children and grandchildren,Claim,"((5874, 5930),)",We have a duty to defeat this enemy,Claim,"((5837, 5872),)",Support
I believe that we have to win this,Claim,"((26849, 26883),)","they don't have to, providing we have the leadership that we put -- that I'm offering",Claim,"((26762, 26847),)",Support
"we have a duty to our country and to future generations of America to achieve a free Iraq, a free Afghanistan, and to rid the world of weapons of mass destruction",Claim,"((39403, 39565),)",It's necessary we win,Claim,"((39333, 39354),)",Support
Ask the people in the armed forces today,Premise,"((62857, 62897),)",I also believe that it is -- one of the reasons we can't do it is we're overextended,Claim,"((62770, 62854),)",Support
We have a duty to defeat this enemy,Claim,"((5837, 5872),)","The best way to defeat them is to never waver, to be strong, to use every asset at our disposal, is to constantly stay on the offensive and, at the same time, spread liberty",Claim,"((5933, 6106),)",Support
I thought Saddam Hussein was a threat,Premise,"((26999, 27036),)",I did vote to give the authority,Claim,"((26957, 26989),)",Support
I understand the stakes of this war on terror,Premise,"((40465, 40510),)",I thought her husband's sacrifice was noble and worthy,Claim,"((40401, 40455),)",Support
We've got Guards and Reserves who are doing double duties,Premise,"((62899, 62956),)",I also believe that it is -- one of the reasons we can't do it is we're overextended,Claim,"((62770, 62854),)",Support
Ten million citizens have registered to vote,Premise,"((6177, 6221),)",that's what people are seeing now is happening in Afghanistan,Claim,"((6113, 6174),)",Support
I did accept that intelligence,Premise,"((27042, 27072),)",I did vote to give the authority,Claim,"((26957, 26989),)",Support
I understand that we must find Al Qaida wherever they hide,Premise,"((40512, 40570),)",I thought her husband's sacrifice was noble and worthy,Claim,"((40401, 40455),)",Support
people with stop-loss programs where they're told you can't get out of the military,Premise,"((63016, 63099),)",this is the way the president has overextended the United States,Claim,"((63221, 63285),)",Support
It's a phenomenal statistic,Premise,"((6223, 6250),)",Ten million citizens have registered to vote,Premise,"((6177, 6221),)",Support
I also laid out a very strict series of things we needed to do in order to proceed from a position of strength,Premise,"((27079, 27189),)",I did vote to give the authority,Claim,"((26957, 26989),)",Support
We must deal with threats before they fully materialize,Claim,"((40573, 40628),)",I thought her husband's sacrifice was noble and worthy,Claim,"((40401, 40455),)",Support
"nine out of our 10 active duty divisions committed to Iraq one way or the other, either going, coming or preparing",Premise,"((63101, 63215),)",this is the way the president has overextended the United States,Claim,"((63221, 63285),)",Support
if given a chance to be free,Premise,"((6257, 6285),)",they will show up at the polls,Claim,"((6287, 6317),)",Support
He didn't do any of those things,Claim,"((27412, 27444),)",We will go with our allies,Premise,"((27382, 27408),)",Attack
"it's hard work to try to love her as best as I can, knowing full well that the decision I made caused her loved one to be in harm's way",Premise,"((40200, 40335),)",I thought her husband's sacrifice was noble and worthy,Claim,"((40401, 40455),)",Support
this is the way the president has overextended the United States,Claim,"((63221, 63285),)",I also believe that it is -- one of the reasons we can't do it is we're overextended,Claim,"((62770, 62854),)",Support
they will show up at the polls,Claim,"((6287, 6317),)",that's what people are seeing now is happening in Afghanistan,Claim,"((6113, 6174),)",Support
He didn't do any of those things,Claim,"((27412, 27444),)",We will not make war inevitable,Premise,"((27349, 27380),)",Attack
